# Assignable
 
"role.graffiti.name" : "涂鸦者"
"role.graffiti.short" : "涂"
"role.graffiti.blurb" : "街头艺术家"
"role.graffiti.hint" : "一起来涂鸦吧！"
 
# Document
 
"role.graffiti.doc" : "涂鸦者可以在地图中留下红色的涂鸦。"
"role.graffiti.ability.title" : "固有能力【涂鸦艺术】"
"role.graffiti.ability.main" : "通过专属地图对任何位置进行绘制涂鸦。"
"role.graffiti.ability.draw" : "<title>涂鸦</title>打开地图，在选中位置留下涂鸦。"
 
# Options
 
"options.role.graffiti.detail" : "涂鸦者可以在地图中留下红色的涂鸦。"
"options.role.graffiti.numOfDrawings" : "涂鸦可用次数"
 
# Game
 
# UI
 
"button.label.draw" : "涂鸦"
 
# Stats
 
"stats.graffiti.drawing" : "涂鸦使用次数"
 
# Titles
 
"achievement.graffiti.common1.title" : "街头艺术"
"achievement.graffiti.common1.goal" : "使用一次涂鸦。"
"achievement.graffiti.common1.flavor" : "“不被认可的艺术行为。”"

"achievement.graffiti.challenge.title" : "垃圾桶中的遗憾"
"achievement.graffiti.challenge.goal" : "在有玩家拥有“临终遗言”附加能力的对局中，<br>且该附加能力已经触发的情况下全员存活并获胜。"
"achievement.graffiti.challenge.cond" : "提示：至少有1人，除自己以外。"
"achievement.graffiti.challenge.splitted.1" : "垃圾桶中的"
 
