# Assignable
 
"role.dyingMessage.name" : "临终遗言"
"role.dyingMessage.generalBlurb" : "留下最后的遗言。"
 
# Document
 
"role.dyingMessage.doc" : "临终遗言是一个无法被感知的附加能力。<br>死亡后可以留下一幅涂鸦。"
"role.dyingMessage.tips" : "・自杀或没有留下尸体的情况下无法触发该能力。"

# Options
 
"options.role.dyingMessage.detail" : "临终遗言是一个无法被感知的附加能力。<br>在死亡后的一段时间内可以留下一幅涂鸦。"
 
# Game
 
"options.role.dyingMessage.messageDuration" : "遗言绘制时间"
 
# UI
 
"game.dyingMessage.ui.title" : "临终遗言"
"game.dyingMessage.ui.content" : "发现与%ROOM%内。"
 
# Game Statictics
 
# Status
 
# Stats
 
# Titles
 
"achievement.dyingMessage.common1.title" : "最终之言"
"achievement.dyingMessage.common1.goal" : "留下临终遗言。"
 
"achievement.dyingMessage.another1.title" : "未尽之言"
"achievement.dyingMessage.another1.goal" : "未能留下临终遗言。"
 
"achievement.dyingMessage.common2.title" : "用餐留言"
"achievement.dyingMessage.common2.goal" : "在食堂或厨房中留下临终遗言。"
"achievement.dyingMessage.common2.flavor" : "“开餐啦~”"
"achievement.dyingMessage.common2.splitted.2" : "留言"
 
"achievement.dyingMessage.challenge.title" : "关键人证线索"
"achievement.dyingMessage.challenge.goal" : "在成功留下临终遗言且在同一轮次的情况下将凶手放逐。"
"achievement.dyingMessage.challenge.splitted.1" : "人证的"
