"achievement.paintQuiz.oneGame.title" : "闲暇之余"
"achievement.paintQuiz.oneGame.goal" : "游玩一次猜画模式。"
"achievement.paintQuiz.oneGame.splitted.0" : "闲暇"
 
"achievement.paintQuiz.tenGame.title" : "遗忘时间"
"achievement.paintQuiz.tenGame.goal" : "累计游玩10次猜画模式。"
"achievement.paintQuiz.tenGame.flavor" : "“这下不在勾心斗角了。”"
"achievement.paintQuiz.tenGame.splitted.1" : "遗忘"
 
"achievement.paintQuiz.tenHostGame.title" : "名家主持"
"achievement.paintQuiz.tenHostGame.goal" : "累计主持10次猜画模式。"
"achievement.paintQuiz.tenHostGame.splitted.0" : "名"
 
"achievement.paintQuiz.badAnswer.title" : "迷之言"
"achievement.paintQuiz.badAnswer.goal" : "获得-1分。"
"achievement.paintQuiz.badAnswer.flavor" : "“你在乱说什么胡话？”"
"achievement.paintQuiz.badAnswer.splitted.0" : "迷"
 
"achievement.paintQuiz.goodAnswer.title" : "略有研究"
"achievement.paintQuiz.goodAnswer.goal" : "累计获得5次2分的评价。"
 
"achievement.paintQuiz.goodAnswer.2.title" : "超强人型百科"
"achievement.paintQuiz.goodAnswer.2.goal" : "累计获得10次2分的评价。"
"achievement.paintQuiz.goodAnswer.2.splitted.0" : "超强"
